entity,count
the United States,5942
England,4477
US,3682
Australia,3622
France,2966
Europe,2819
London,2769
New York,2540
U.S.,2467
English,2191
Germany,2140
Canada,2110
Japan,2098
Washington,2075
Britain,1706
California,1695
the United Kingdom,1577
UK,1566
North America,1354
Italy,1259
Scotland,1253
China,1229
Los Angeles,1221
United States,1206
India,1131
Spain,1073
Texas,1055
World War II,1049
Ireland,1039
Florida,1038
Virginia,1016
Congress,1012
New Zealand,998
Russia,997
Oxford,986
New York City,896
Michigan,890
Henry,877
John,855
Chicago,853
Fox,845
Cambridge,833
Johnson,818
Homer,816
Mulder,809
Paris,807
Scully,803
Senate,795
America,793
Mexico,785
Earth,771
D.C.,765
Allied,749
Pennsylvania,717
Harrison,706
Massachusetts,703
Smith,695
Wales,685
Ohio,656
Sweden,650
Norway,647
Bart,642
Asia,641
Boston,635
Mary,635
William,629
Maryland,628
Peter,625
Atlantic,623
Philadelphia,608
Georgia,605
Illinois,602
Madonna,600
New Jersey,600
Austria,594
Jackson,593
the Soviet Union,593
Egypt,589
James,586
Africa,584
Poland,572
Kentucky,563
NBC,555
Brown,552
Liverpool,543
Victoria,542
Beyoncé,540
Netherlands,535
House,534
Army,533
Lisa,526
Michael,520
South Africa,520
Navy,515
State,509
Rome,501
Greece,493
Belgium,490
Carey,482
Edward,480
Sydney,476
Billboard,476
Brazil,474
Charles,470
Jack,470
Singapore,467
Louisiana,466
Miller,460
World War I,454
Lincoln,454
Simpsons,452
San Francisco,451
Elizabeth,447
Indiana,446
West,446
Oregon,445
Bradman,437
North Carolina,437
Parliament,434
Hollywood,434
Great Britain,433
Pacific,427
Melbourne,425
Marge,423
Richard,419
Wilson,414
Hungary,411
Hitler,406
Croatia,400
The New York Times,400
Lennon,399
Sun,398
Mediterranean,393
Sullivan,392
Alabama,392
Missouri,391
Denmark,388
Switzerland,387
NY,386
Tennessee,384
NHL,383
Cleveland,380
Israel,380
Iowa,379
Berlin,377
Arsenal,372
Robert,371
NBA,371
Gilbert,370
Cuba,369
Argentina,366
Jr.,364
York,364
Iraq,364
BBC,363
Moon,361
Nintendo,358
New South Wales,358
Miami,357
Toronto,355
Paul,352
Bond,350
Philippines,348
Martin,344
World Cup,341
Jim,340
Williams,339
Manchester,337
Grant,336
Thomas,336
McCartney,334
Dwight,332
Detroit,329
Parker,328
Pakistan,325
the Second World War,325
Scott,324
Vietnam,324
David,322
Confederate,322
Portland,322
Portugal,320
MTV,320
Bush,317
George,316
South Carolina,316
Olympic,316
Arizona,315
Olympics,315
Kennedy,314
Batman,314
Normandy,309
Fleming,307
Syria,305
Afghanistan,304
Finland,300
Anne,300
Taylor,299
Earl,297
Stephen,296
Canterbury,295
Hamilton,295
MD,295
Montreal,294
Baltimore,292
ABC,290
Mississippi,290
Connecticut,288
Maine,288
Caribbean,286
Seattle,285
Atlanta,285
Jones,284
Clinton,284
Ontario,284
the Middle East,283
Morris,283
Queensland,282
UN,282
White,280
Sam,280
Lee,279
Anderson,278
NFL,276
Colorado,276
Court,275
Kent,274
Rolling Stone,274
Entertainment Weekly,273
Turkey,272
CBS,271
West Virginia,271
Nixon,270
Dean,268
Serbia,268
Yugoslavia,268
Rihanna,267
South,267
Malaysia,267
WWE,266
Houston,266
Davis,265
Love,265
Nelson,264
Vancouver,263
Manhattan,263
Indonesia,263
Bristol,262
Adams,262
IGN,262
Korea,261
New England,261
the Supreme Court,259
Kansas,258
Stone,258
Minnesota,258
Nevada,258
Chelsea,257
Norfolk,257
Richmond,255
Broadway,253
NATO,253
Mars,253
Walter,253
Constitution,252
Duke,251
Rachel,251
Gaga,251
FBI,250
South America,250
Spears,250
Hong Kong,249
Time,248
Guardian,248
RAAF,247
Evans,244
Moore,242
Utah,242
Thompson,242
Norman,241
Puerto Rico,240
Andy,240
Jordan,239
Commonwealth,239
Allies,238
Springfield,238
Roosevelt,238
Lindwall,238
Tokyo,237
New Orleans,236
Surrey,236
the First World War,235
Liz,235
Obama,235
Spanish,235
Jupiter,235
Napoleon,235
Birmingham,234
Church,232
Somerset,231
Olivia,229
Leslie,229
Hawaii,226
Raw,226
Alexander,225
Wisconsin,224
Quebec,224
MacArthur,223
Oklahoma,222
South Korea,221
Edinburgh,220
Ford,219
Howe,218
Tom,218
Clark,218
Moscow,217
St. Louis,216
Nielsen,215
New Guinea,214
Manchester United,213
Empire,212
Virginia Tech,211
Gibraltar,211
San Diego,211
Ross,210
Saturn,209
Las Vegas,208
Burns,208
NASA,207
Times,207
Johnston,206
Iran,206
Alaska,205
Delaware,204
Giants,203
the Royal Navy,203
Sega,203
Romney,201
Athens,201
Lewis,201
Tech,200
Hill,198
Carter,197
Joe,194
Chile,194
Ben,194
Dublin,194
Arthur,194
Robinson,193
Harvey,193
Disney,192
Shakespeare,192
Malta,191
Crown,191
Simpson,190
Marshall,190
BC,189
Beijing,189
Gordon,188
Columbia,188
Palestine,188
Kelly,188
Yorkshire,187
Taiwan,185
JNA,184
SmackDown,182
Phoenix,182
Brian,181
Jesus,180
Murray,179
Alice,179
Chamberlain,177
Hardy,177
Morgan,177
Dylan,177
Romania,175
Sony,175
Jamaica,174
Douglas,174
McKinley,174
Edwards,173
Allen,173
Wright,171
Apollo,170
Walker,168
Jerusalem,167
Barcelona,167
RAF,167
Luftwaffe,166
