noun,count
London,17665
Scott,2618
Guardian,2244
William,3162
Chinese,9051
Japanese,17356
Shakespeare,1752
Burns,1218
China,7337
Buddhist,1140
England,21495
Court,2027
Japan,12470
Western,1701
Moon,1991
English,7544
Irish,3415
Germany,10982
Ireland,4867
the United Kingdom,7349
Belgian,1535
Australia,18040
Canada,9858
Denmark,2093
France,14152
New Zealand,5557
Netherlands,2685
UK,9256
US,29508
the United States,27461
Allmusic,1202
Billboard,3139
the UK Singles Chart,1029
Canadian,5810
South Korea,1267
Hollywood,2920
British,35182
@-@,41123
American,32274
Britain,8435
Navy,3458
the Royal Navy,1409
World War II,6470
Allied,4910
Paul,2510
the Soviet Union,2794
Korea,1204
Edward,3167
Philippines,2422
Americans,4417
Singapore,3541
Allies,1358
NFL,2734
Michigan,5023
Iowa,2030
Time,1745
Wisconsin,1310
Southern,1191
Yankees,1741
Detroit,1768
New York,13372
west @-@,1042
Jupiter,1861
Florida,6320
Georgia,3019
Puerto Rico,1837
Turks,1025
Cuba,2267
Texas,6542
Miami,1775
Melbourne,2213
Spanish,7859
Martin,2475
South Carolina,1638
North Carolina,2748
UN,2035
North Korean,2019
United States,5628
North,1001
Hill,1677
Jr,1679
Walker,1157
Tokyo,1522
Army,3238
MacArthur,1263
Robinson,1633
Earth,7316
California,8824
Sony,1213
Connecticut,1703
MTV,2032
Harrison,5142
Europe,12523
French,23856
Russian,6740
Ottoman,2911
Mexican,2783
Austria,2827
Italy,6227
Russia,4811
Spain,5242
Italian,7231
Austrian,1897
Congress,5571
Mississippi,1417
New Orleans,1355
Virginia,4946
Norfolk,1266
Confederate,1848
Swedish,2632
European,9036
Tennessee,1921
Morgan,1220
St. Louis,1040
Missouri,1885
German,24563
Mercury,1025
Harvey,1218
U.S.,14583
Atlantic,3825
first @-@,1084
Bermuda,1139
New York City,4735
Egyptian,2182
Turkish,2343
South America,1197
Chile,1127
World War I,2803
Jackson,5666
Great Britain,1659
Surrey,1060
Christian,6195
Swift,1319
Jewish,4281
Hitler,3137
Israel,2397
Jews,3301
Indian,6567
Africa,3578
Paris,5175
Nazi,2207
Berlin,2132
The New York Times,3307
Vietnam,2077
Switzerland,2283
Greek,6214
Pennsylvania,3738
North America,6389
Brazil,2822
Darwin,1382
Richmond,1217
York,2626
Robert,2005
Stephen,1743
Canterbury,1658
John,4865
Hawaii,1674
Pacific,2249
Miller,2874
NY,2732
Manchester United,1264
South Africa,2867
Norwegian,2450
Danish,1505
Portugal,1537
MLB,1299
Dallas,1098
Giants,2036
San Francisco,2442
Los Angeles,5359
Arizona,1648
Colorado,1694
Clark,2262
Hong Kong,1708
Australian,11046
Washington,8509
Bush,1902
Russell,1111
the Second World War,2186
Jerusalem,1420
Chicago,5235
Rome,3551
African,2287
Dublin,1232
Anglo @-@,1256
Victorian,1212
non @-@,3915
Gilbert,1702
Sullivan,1959
Williams,3029
Ford,1590
Boston,3789
Polish,4938
the Middle East,1234
Iraq,1881
BBC,3642
Soviet,5864
Soviets,1289
NATO,1527
Turkey,1546
New South Wales,1915
Victoria,2716
@-@ of @-@,1287
Mexico,4711
Argentina,1896
Latin,2362
co @-@,4411
Taiwan,1197
Alaska,1364
Evans,1566
Vienna,1015
Russians,1088
Napoleon,1723
Charles,2890
Richard,2437
WWE,1995
Raw,1441
Hardy,1077
SmackDown,1294
Cena,1153
TNA,1170
Henry,5117
Roman,4535
Minnesota,1690
Las Vegas,1007
Nevada,1042
Twitter,1260
Duke,1029
Kentucky,3172
Alberta,1063
Campbell,1035
Wales,3281
Bristol,1679
Grant,2514
Smith,5311
Joseph,1059
Oxford,4943
IGN,3817
RAAF,1610
New Guinea,1189
Queensland,1575
Madagascar,2114
Normandy,1281
Luftwaffe,1150
India,8943
Scotland,6683
the First World War,1650
anti @-@,1100
Roosevelt,1486
Sega,1374
Genesis,1056
Egypt,3654
Saturn,1152
Asia,2679
@-@ the @-@,1173
Houston,1635
U @-@,2846
D.C.,2011
Illinois,2564
Utah,1282
Belgium,2666
Stevens,1191
NBA,2604
Indiana,2700
NCAA,1007
America,4489
Dean,1436
Tracy,1205
Virginia Tech,1388
Times,1601
Howard,1177
Oregon,2225
Kansas,1385
Sam,1381
Mark,1154
Sun,3131
NASA,1404
North American,2396
Warner Bros.,1061
Jim,1831
Broadway,1739
Cooper,1557
Beatles,2345
Don,1835
Entertainment Weekly,2005
Finland,1731
Norway,4012
Hungary,2524
Greece,2680
the Los Angeles Times,1004
Metacritic,1342
Ryan,1084
Love,1781
Empire,1616
Massachusetts,3391
Republican,3765
Constitution,1338
House,2916
Senate,4151
Parker,1562
Dutch,4632
Hamilton,2291
Cambridge,3904
Republicans,1741
Adams,2035
New England,1327
Romans,1241
Christians,1518
BC,1049
Alexander,1639
Armenian,1235
State,2185
Christianity,1722
Syria,1839
Bible,1086
Peter,3703
Hindu,2029
Islamic,1303
