entity,count
the United States,13159
England,9609
Australia,8629
US,8511
France,7496
Europe,6866
@-@,6508
London,5796
New York,5636
U.S.,5478
Germany,5395
Canada,5262
Japan,5130
Washington,4707
Britain,3864
the United Kingdom,3786
California,3685
UK,3405
North America,3298
Italy,3286
Scotland,2822
United States,2803
China,2782
New Zealand,2746
Spain,2745
Ireland,2715
India,2709
Los Angeles,2702
Russia,2509
Virginia,2410
Texas,2396
World War II,2359
Florida,2297
Congress,2154
Oxford,2062
New York City,2025
Michigan,1984
Henry,1896
D.C.,1886
Paris,1832
Mexico,1831
John,1811
Chicago,1808
Sweden,1801
Cambridge,1789
Fox,1783
America,1745
Norway,1704
Scully,1690
Allied,1688
Asia,1651
Mulder,1648
Wales,1628
Pennsylvania,1621
Netherlands,1616
Johnson,1606
Senate,1591
Massachusetts,1569
Austria,1549
Homer,1548
Ohio,1543
Harrison,1537
Belgium,1497
Boston,1489
New Jersey,1482
Georgia,1480
Earth,1470
Poland,1432
Smith,1422
Maryland,1416
Africa,1414
Mary,1408
Bart,1367
the Soviet Union,1365
William,1363
Madonna,1363
Atlantic,1349
Egypt,1347
Illinois,1345
M @-@,1334
South Africa,1318
Jackson,1317
Philadelphia,1305
Hungary,1296
Switzerland,1249
Brazil,1241
non @-@,1229
Liverpool,1224
James,1212
Kentucky,1203
Greece,1199
Victoria,1189
Army,1187
Peter,1169
Brown,1160
Denmark,1158
co @-@,1156
NBC,1139
State,1123
Beyoncé,1113
Singapore,1112
Lisa,1093
House,1069
Great Britain,1065
Sydney,1065
Navy,1057
Rome,1055
Oregon,1055
North Carolina,1044
Indiana,1038
Michael,1037
Elizabeth,1034
Louisiana,1032
San Francisco,1028
World War I,1025
Edward,1022
Charles,1019
Pacific,1009
Lincoln,978
Carey,975
West,966
Melbourne,950
Mediterranean,938
Billboard,924
Croatia,912
Richard,911
Hollywood,896
Lennon,894
Miller,894
Marge,894
Finland,894
Philippines,883
Alabama,879
Argentina,877
Simpsons,877
Jack,872
Parliament,865
Tennessee,860
Israel,859
Iraq,854
Wilson,837
Cuba,834
The New York Times,834
Portugal,833
Sullivan,832
Cleveland,826
York,819
Iowa,813
Gilbert,806
Missouri,803
New South Wales,802
Toronto,801
Arsenal,801
McCartney,800
Robert,800
Nintendo,796
South Carolina,790
Sun,780
NY,779
Hitler,777
Pakistan,776
Bradman,774
BBC,765
Normandy,760
U @-@,758
World Cup,753
Turkey,750
Detroit,750
Don,748
Thomas,748
Grant,747
Vietnam,738
Berlin,732
Arizona,732
Miami,732
Jim,719
Manchester,714
Martin,713
Confederate,713
Parker,704
MD,702
Mississippi,701
Dwight,700
Afghanistan,697
the Middle East,697
Moon,695
the Second World War,695
Williams,695
Bond,687
ABC,686
Portland,686
George,681
Seattle,677
Earl,672
Fleming,671
Scott,670
Syria,667
Malaysia,667
Baltimore,666
Connecticut,663
Paul,661
MTV,656
Caribbean,654
Canterbury,653
Bush,652
Atlanta,651
South America,647
Taylor,644
Kennedy,642
David,640
Ontario,634
Olympics,630
Stephen,629
Maine,628
Minnesota,627
NBA,626
Yugoslavia,626
Lee,625
Colorado,623
Korea,620
Indonesia,619
NHL,618
New Orleans,616
Wisconsin,615
Court,614
NATO,613
Montreal,610
Bristol,607
Olympic,601
Queensland,596
Hawaii,595
Davis,595
UN,595
South Korea,594
Hong Kong,593
Anne,589
Kent,588
South,586
CBS,585
Serbia,584
Batman,583
Houston,582
White,581
Rihanna,581
Clinton,578
Kansas,577
Jones,575
Love,575
Tokyo,574
Duke,567
Norfolk,564
Oklahoma,560
West Virginia,559
Morris,557
FBI,554
the Supreme Court,552
Mars,552
Adams,551
New England,550
Hamilton,549
Vancouver,546
Entertainment Weekly,545
NFL,540
Commonwealth,537
Manhattan,537
Rolling Stone,532
Norman,530
Gaga,529
Iran,528
IGN,528
Dean,525
Stone,524
Richmond,522
Nixon,522
Constitution,520
Birmingham,519
Nelson,518
Allies,518
Time,516
Walter,515
Puerto Rico,514
Jordan,514
Rachel,513
Edinburgh,512
Chelsea,512
Malta,512
Utah,510
RAAF,509
Napoleon,508
Quebec,507
Andy,506
Manchester United,505
Moscow,505
Spears,501
Obama,500
Alaska,499
Empire,495
New Guinea,494
Guardian,493
north @-@,493
the First World War,490
Evans,489
Anderson,487
Broadway,486
Alexander,483
Somerset,480
Clark,473
Jamaica,465
Athens,462
Romania,460
Gibraltar,459
Sam,455
Roosevelt,455
Carter,449
Columbia,448
anti @-@,445
Ford,445
south @-@,444
Thompson,443
Ross,440
Church,440
MacArthur,438
Hill,432
Nielsen,426
Moore,424
Phoenix,424
the Royal Navy,421
WWE,419
Dublin,415
Kelly,414
Tech,413
Liz,412
JNA,405
Lewis,404
Raw,400
Robinson,399
Tom,399
Times,398
Disney,398
Murray,391
Jupiter,390
mid @-@,389
Bruce,388
Virginia Tech,387
Newcastle,379
Leslie,377
RAF,364
BC,364
Barcelona,363
Gordon,362
Dylan,360
NASA,360
Constantinople,358
Sega,355
west @-@,353
Wright,352
Brian,349
Alice,348
Giants,346
Edwards,346
Shakespeare,342
Chris,340
Yorkshire,339
Jesus,336
Frank,332
Cooper,330
Jerusalem,327
Joe,324
Yankees,324
Madagascar,314
Finn,304
four @-@,299
Morrison,297
Murphy,288
Harry,279
YouTube,270
Cyrus,258
Jr.,254
Boeing,229
MLB,223
The A.V. Club,202
Microsoft,167
