label1,label2,count
GPE,GPE,356186
PERSON,PERSON,49526
GPE,PERSON,39686
PERSON,GPE,39686
GPE,ORG,34872
ORG,GPE,34872
LOC,GPE,21977
GPE,LOC,21977
ORG,ORG,15898
ORG,PERSON,15454
PERSON,ORG,15454
LOC,LOC,11224
GPE,EVENT,6280
EVENT,GPE,6280
LOC,ORG,2988
ORG,LOC,2988
LOC,PERSON,2415
PERSON,LOC,2415
ORG,EVENT,1096
EVENT,ORG,1096
EVENT,PERSON,625
PERSON,EVENT,625
EVENT,LOC,561
LOC,EVENT,561
WORK_OF_ART,PERSON,419
PERSON,WORK_OF_ART,419
GPE,FAC,413
FAC,GPE,413
WORK_OF_ART,GPE,401
GPE,WORK_OF_ART,401
EVENT,EVENT,376
GPE,LAW,316
LAW,GPE,316
LAW,ORG,289
ORG,LAW,289
PRODUCT,PERSON,278
PERSON,PRODUCT,278
PRODUCT,ORG,271
ORG,PRODUCT,271
GPE,PRODUCT,261
PRODUCT,GPE,261
FAC,PERSON,259
PERSON,FAC,259
ORG,WORK_OF_ART,230
WORK_OF_ART,ORG,230
FAC,ORG,123
ORG,FAC,123
PRODUCT,LOC,109
LOC,PRODUCT,109
LAW,PERSON,77
PERSON,LAW,77
EVENT,PRODUCT,50
PRODUCT,EVENT,50
WORK_OF_ART,LOC,26
LOC,WORK_OF_ART,26
FAC,LOC,19
LOC,FAC,19
WORK_OF_ART,PRODUCT,10
PRODUCT,WORK_OF_ART,10
LOC,LAW,9
LAW,LOC,9
FAC,EVENT,6
EVENT,FAC,6
PRODUCT,FAC,5
FAC,PRODUCT,5
FAC,WORK_OF_ART,2
WORK_OF_ART,FAC,2
LAW,EVENT,2
EVENT,LAW,2
FAC,FAC,2
WORK_OF_ART,EVENT,1
EVENT,WORK_OF_ART,1
