entity,count
the United States,627
England,462
US,445
Australia,401
@-@,371
France,364
Europe,328
U.S.,265
London,264
New York,263
Washington,229
Japan,225
Canada,220
Germany,212
Britain,195
the United Kingdom,187
California,173
UK,151
North America,148
India,131
Los Angeles,127
Italy,126
Oxford,121
Scotland,121
China,117
Spain,115
United States,114
Russia,111
Florida,111
Virginia,110
New Zealand,109
Cambridge,106
America,103
New York City,101
Michigan,101
World War II,100
Ireland,100
Henry,100
Texas,99
Congress,92
Allied,90
John,89
Fox,88
Scully,85
Paris,85
Massachusetts,83
Boston,82
Mary,82
Pennsylvania,79
Asia,79
Chicago,78
Mexico,77
Harrison,77
Mulder,74
Michael,74
Ohio,73
Wales,73
Smith,73
Earth,71
Jackson,70
Victoria,70
M @-@,70
D.C.,70
Homer,69
Poland,69
Johnson,69
William,68
Atlantic,67
Georgia,66
Senate,65
New Jersey,65
non @-@,64
Peter,64
South Africa,64
Egypt,63
Edward,62
Bart,62
NBC,61
Maryland,61
Kentucky,60
Beyoncé,59
Army,59
Madonna,59
Brazil,58
Netherlands,57
Africa,57
Sweden,57
Liverpool,57
Miller,56
Indiana,56
Sydney,56
Norway,56
Singapore,55
Great Britain,55
State,55
Belgium,54
co @-@,53
Bradman,53
Brown,53
Austria,52
Carey,51
Philadelphia,51
Marge,51
James,50
Pacific,50
Illinois,50
Philippines,49
the Soviet Union,48
Parliament,48
York,48
Lisa,47
San Francisco,47
House,47
Navy,47
Argentina,47
Mediterranean,47
Don,46
Wilson,46
Iraq,46
Elizabeth,46
Oregon,46
Charles,45
Iowa,45
Rome,45
West,45
Jack,45
Melbourne,45
Alabama,45
Scott,45
MD,45
Greece,45
Williams,44
NY,44
Croatia,44
Fleming,44
Hungary,44
Simpsons,44
Bond,44
Arsenal,43
Toronto,42
Confederate,42
Tennessee,42
Switzerland,42
Pakistan,41
Bush,41
North Carolina,41
Louisiana,40
Richard,40
Thomas,40
Billboard,39
Grant,39
Afghanistan,39
Normandy,39
Korea,39
Vietnam,39
World War I,39
White,39
Cuba,38
the Middle East,38
New England,38
McCartney,38
the Supreme Court,38
Israel,37
Cleveland,37
Gilbert,37
Batman,37
Martin,37
U @-@,37
The New York Times,36
the Second World War,36
Hitler,36
Miami,36
Lincoln,36
Portugal,36
Dwight,35
Rihanna,35
MTV,35
Norman,35
Stone,35
Caribbean,34
Olympic,34
Manchester,34
Syria,34
Turkey,33
Denmark,33
Anne,33
Berlin,33
Vancouver,33
Earl,33
Paul,33
Missouri,33
Serbia,33
Seattle,33
Minnesota,33
Moon,33
NHL,33
Canterbury,33
Nintendo,32
New South Wales,32
Kent,32
Parker,32
Arizona,32
Queensland,32
Kansas,32
UN,32
Ontario,32
David,32
Connecticut,32
Mississippi,32
Entertainment Weekly,32
World Cup,32
Kennedy,31
Lee,31
Lennon,31
Hollywood,31
Alexander,31
Sun,31
Montreal,31
Richmond,31
Adams,31
Edinburgh,31
Detroit,31
Quebec,30
Malaysia,30
FBI,30
Indonesia,30
Wisconsin,30
Oklahoma,30
Jim,30
NFL,30
Atlanta,30
Sullivan,29
Carter,29
Commonwealth,29
BBC,29
Maine,29
NBA,29
Stephen,29
Portland,29
NATO,29
Virginia Tech,28
Constantinople,28
Baltimore,28
Rachel,28
South America,27
Malta,27
Anderson,27
Yugoslavia,27
West Virginia,27
Morris,27
George,27
Taylor,26
Moore,26
Manchester United,26
South Carolina,26
Love,26
Romania,26
New Guinea,26
Hawaii,26
Bristol,26
Utah,26
Colorado,26
Church,25
Ross,25
Mars,25
Court,25
Gaga,25
Giants,25
Robert,25
Spears,25
Norfolk,25
South Korea,25
Birmingham,25
Duke,25
Allies,25
Bruce,24
Liz,24
Nixon,24
Sam,24
Hong Kong,24
Dean,24
Kelly,24
Olympics,24
Clark,24
Ford,24
Broadway,24
CBS,24
South,23
Rolling Stone,23
Davis,23
Walter,23
north @-@,23
Shakespeare,23
Jones,23
Houston,23
Tokyo,23
Newcastle,22
Manhattan,22
Hamilton,22
New Orleans,22
Chelsea,22
the First World War,22
Phoenix,22
Guardian,22
Raw,22
Obama,22
Somerset,22
Andy,22
Evans,22
Brian,21
Clinton,21
ABC,21
Moscow,21
Roosevelt,21
anti @-@,21
Jamaica,21
Finland,21
Hill,20
Jesus,20
Time,20
Empire,20
Dylan,20
Disney,20
NASA,20
Dublin,20
Athens,20
Yankees,20
Wright,20
Puerto Rico,20
MacArthur,19
Lewis,19
the Royal Navy,19
Napoleon,19
IGN,19
Constitution,18
Jordan,18
RAAF,18
Tom,18
JNA,18
Jr.,18
Cooper,18
Gibraltar,18
west @-@,17
Tech,17
Nelson,17
RAF,17
Harry,17
Gordon,17
south @-@,17
MLB,17
Finn,16
Chris,16
Nielsen,16
Alaska,16
Robinson,16
Cyrus,16
Jerusalem,16
BC,15
Columbia,15
Edwards,15
Leslie,14
mid @-@,14
Thompson,14
four @-@,13
Yorkshire,13
WWE,13
Iran,13
Murray,13
The A.V. Club,12
Times,12
YouTube,12
Jupiter,12
Barcelona,12
Sega,12
Boeing,12
Morrison,11
Madagascar,11
Joe,10
Murphy,10
Frank,10
Microsoft,9
Alice,9
