label1,label2,count
GPE,GPE,8098
PERSON,PERSON,1982
PERSON,GPE,1442
GPE,PERSON,1442
GPE,ORG,1305
ORG,GPE,1305
PERSON,ORG,625
ORG,PERSON,625
GPE,LOC,551
LOC,GPE,551
ORG,ORG,524
LOC,LOC,332
EVENT,GPE,176
GPE,EVENT,176
LOC,ORG,107
ORG,LOC,107
LOC,PERSON,94
PERSON,LOC,94
ORG,EVENT,41
EVENT,ORG,41
PERSON,EVENT,28
EVENT,PERSON,28
PERSON,WORK_OF_ART,22
WORK_OF_ART,PERSON,22
GPE,FAC,21
FAC,GPE,21
EVENT,LOC,19
LOC,EVENT,19
EVENT,EVENT,18
GPE,WORK_OF_ART,15
WORK_OF_ART,GPE,15
PRODUCT,ORG,13
ORG,PRODUCT,13
PERSON,FAC,12
FAC,PERSON,12
LAW,GPE,11
GPE,PRODUCT,11
GPE,LAW,11
PRODUCT,GPE,11
ORG,WORK_OF_ART,7
WORK_OF_ART,ORG,7
LAW,ORG,6
ORG,LAW,6
PRODUCT,PERSON,6
PERSON,PRODUCT,6
ORG,FAC,6
FAC,ORG,6
LOC,PRODUCT,2
PRODUCT,LOC,2
PRODUCT,EVENT,1
EVENT,PRODUCT,1
PRODUCT,WORK_OF_ART,1
WORK_OF_ART,PRODUCT,1
LAW,PERSON,1
PERSON,LAW,1
