label1,label2,count
GPE,GPE,77494
PERSON,PERSON,20450
GPE,PERSON,14225
PERSON,GPE,14225
GPE,ORG,11472
ORG,GPE,11472
ORG,PERSON,6707
PERSON,ORG,6707
ORG,ORG,6690
LOC,GPE,5028
GPE,LOC,5028
LOC,LOC,2882
EVENT,GPE,2035
GPE,EVENT,2035
LANGUAGE,GPE,1232
GPE,LANGUAGE,1232
LOC,ORG,1002
ORG,LOC,1002
PERSON,LOC,882
LOC,PERSON,882
LANGUAGE,PERSON,561
PERSON,LANGUAGE,561
EVENT,ORG,392
ORG,EVENT,392
LANGUAGE,LANGUAGE,308
ORG,LANGUAGE,235
LANGUAGE,ORG,235
WORK_OF_ART,PERSON,235
PERSON,WORK_OF_ART,235
PERSON,EVENT,223
EVENT,PERSON,223
PRODUCT,GPE,173
GPE,PRODUCT,173
LOC,EVENT,166
EVENT,LOC,166
PRODUCT,ORG,162
ORG,PRODUCT,162
PRODUCT,PERSON,159
PERSON,PRODUCT,159
LOC,LANGUAGE,143
LANGUAGE,LOC,143
WORK_OF_ART,GPE,141
GPE,WORK_OF_ART,141
GPE,FAC,136
FAC,GPE,136
EVENT,EVENT,124
WORK_OF_ART,ORG,117
ORG,WORK_OF_ART,117
LAW,ORG,115
ORG,LAW,115
PERSON,FAC,114
FAC,PERSON,114
GPE,LAW,109
LAW,GPE,109
LOC,PRODUCT,68
PRODUCT,LOC,68
ORG,FAC,53
FAC,ORG,53
PERSON,LAW,30
LAW,PERSON,30
LANGUAGE,EVENT,21
EVENT,LANGUAGE,21
WORK_OF_ART,LANGUAGE,20
LANGUAGE,WORK_OF_ART,20
LOC,WORK_OF_ART,17
WORK_OF_ART,LOC,17
PRODUCT,LANGUAGE,14
LANGUAGE,PRODUCT,14
EVENT,PRODUCT,8
PRODUCT,EVENT,8
LOC,FAC,7
FAC,LOC,7
LOC,LAW,5
LAW,LOC,5
LANGUAGE,FAC,5
FAC,LANGUAGE,5
PRODUCT,WORK_OF_ART,4
WORK_OF_ART,PRODUCT,4
PRODUCT,PRODUCT,4
PRODUCT,LAW,3
LAW,PRODUCT,3
WORK_OF_ART,FAC,3
FAC,WORK_OF_ART,3
EVENT,WORK_OF_ART,1
WORK_OF_ART,EVENT,1
FAC,EVENT,1
EVENT,FAC,1
